fac,hospital_name,hospital_type,hospital_type_group,direction_number,direction_name,direction_description,key_actions,plan_period_start,plan_period_end,plan_period_start_raw,plan_period_end_raw,primary_theme,secondary_theme,classification_confidence,classified_on,classification_notes,classification_status,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_start_year,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_type
813,STRATFORD GENERAL,Large Community Hospital,Community — Large,3,PERFORMANCE,"exceeding expectations Strong performance is critical—not only for HPHA but for the entire health system. Healthcare is a vital public service and one of Canada's largest sectors. It must be grounded in responsible business practices that protect financial sustainability and ensure timely, appropriate care. Above all, healthcare must be accountable. At HPHA, we evaluate our work through this lens—ensuring services are grounded in engagement, innovation, evidence, and best practice, and are delivered in the most efficient and effective setting.","Foster Responsible Resource Management: Use human, financial, physical, and technological resources ethically, efficiently, and effectively. | Advance Digital Innovation: Use technology to enhance care delivery and system performance. | Drive Exceptional Quality Care: Provide care that is person-centered, safe, timely, equitable, and continuously improved. | Clear, Transparent Priorities: Align resource allocation with organizational and system goals. | Aligned Performance Indicators: Set annual goals that support strategic objectives. | Timely Access: Place priority on investments that improve access to appropriate care. | Leading Practices: Apply evidence-based standards and best practices. | Exceptional Performance: Equip staff with tools and information to meet high standards.",2025-01-01,2028-01-01,2025,2028,FIN,PAT,high,full,"Primary theme is FIN based on explicit focus on 'financial sustainability,' 'responsible business practices,' 'resource management,' and 'efficient and effective' use of resources. Secondary theme is PAT due to substantial emphasis on 'exceptional quality care,' 'person-centered,' 'safe,' 'timely,' and 'equitable' care delivery. Digital innovation mentioned but serves the broader performance/efficiency goals rather than being a strategic end itself.",ok,TRUE,NA,NA,Huron Perth Healthcare Alliance,2025,TRUE,Innovating for Exceptional Health,Collaborating for Exceptional Care,Compassion | Accountability | Integrity,NA,full,NA,pdf,2026-03-27,direction
814,Middlesex Hosptial Alliance  STRATHROY MIDDLESEX GENERAL,Large Community Hospital,Community — Large,1,Collaborate for Exceptional Care and Experiences,NA,"Provide compassionate care and patient-centered experiences through communication and engagement with our patients, families and care providers with a specific focus on local Indigenous communities. | Continue to enhance quality and safety in alignment with our quality priorities. | Leverage technology to advance the next phase of digital care delivery.",2024-01-01,NA,2024,NA,PAT,INN,high,name_description,"Primary theme is clearly patient experience and quality (compassionate care, patient-centered experiences, quality and safety priorities). Secondary theme INN assigned due to substantial focus on leveraging technology for digital care delivery. Indigenous engagement supports patient-centeredness rather than constituting a separate EDI theme here.",ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
814,Middlesex Hosptial Alliance  STRATHROY MIDDLESEX GENERAL,Large Community Hospital,Community — Large,2,"Engage, Support and Inspire Our People",NA,"Acknowledge, respect and embrace diversity, equity, inclusion and antiracism in our environments. | Build on a culture of empowering engagement, safety, trust, belonging and purpose. | Enhance our focus on wellness and recognition, aiming to be an organization of choice for employees, physicians and volunteers.",2024-01-01,NA,2024,NA,WRK,EDI,high,name_description,"Primary WRK: Core focus on employee engagement, wellness, recognition, culture, belonging, and being employer of choice. Secondary EDI: First action explicitly addresses diversity, equity, inclusion and anti-racism as foundational to the people strategy.",ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
814,Middlesex Hosptial Alliance  STRATHROY MIDDLESEX GENERAL,Large Community Hospital,Community — Large,3,Advance How We Deliver Care,NA,"Harness innovative ways of expanding access to high quality care for our local and rural communities. | Invest in relationships and collaborate with partners to achieve our vision and strategic priorities, making the healthcare system more integrated for our patients. | Advance clinical, information technology, capital infrastructure and financial opportunities to respond to the evolving and future needs of our hospitals and communities.",2024-01-01,NA,2024,NA,ACC,INN,high,name_description,Primary theme is ACC based on explicit focus on 'expanding access' and care delivery model. Secondary theme INN reflects substantial emphasis on 'innovative ways' and 'information technology' to advance care delivery. Partnership element present but serves the access/delivery goal rather than being a strategic end itself.,ok,TRUE,NA,NA,Middlesex Hospital Alliance,2024,TRUE,Exceptional People providing Exceptional Care.,To provide the health care we would expect for our own families.,Compassion | Accountability | Respect | Excellence,NA,full,Plan period indicates '2024 — FORWARD' suggesting ongoing implementation from 2024 with no specified end date.,pdf,2026-03-27,direction
824,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,Small Hospital,Community — Small,1,"Together, pursue fulsome organizational integration toward better patient care and best use of our resources",NA,NA,2024-01-01,2026-01-01,2024,2026,PAR,ACC,medium,name_only,"Direction name emphasizes 'organizational integration' which points to PAR (system integration, interorganizational relationships). Secondary theme ACC assigned because 'better patient care' suggests integrated care delivery. 'Best use of resources' could imply FIN, but in context of integration, it reads as achieving efficiency through collaboration rather than pure financial sustainability. Confidence medium due to lack of description/actions and potential FIN interpretation.",ok,TRUE,NA,NA,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,2024,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or specific actions.,txt,2026-03-27,direction
824,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,Small Hospital,Community — Small,2,"Proud of our rural roots, as small and unique hospitals, advance our service delivery model",NA,NA,2024-01-01,2026-01-01,2024,2026,ACC,ORG,medium,name_only,"Primary ACC: 'advance our service delivery model' is core access/care delivery language. Secondary ORG: 'proud of our rural roots, small and unique hospitals' speaks to organizational identity and culture specific to rural/small hospital context. No description or actions to confirm, hence medium confidence.",ok,TRUE,NA,NA,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,2024,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or specific actions.,txt,2026-03-27,direction
824,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,Small Hospital,Community — Small,3,"With our partners, serve our communities exceptionally well by creating an integrated system",NA,NA,2024-01-01,2026-01-01,2024,2026,PAR,ACC,medium,name_only,"Primary focus on partnerships and system integration ('with our partners', 'integrated system'). Secondary theme ACC reflects the care delivery integration aspect ('serve our communities'). Limited confidence due to sparse content — only direction name available.",ok,TRUE,NA,NA,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,2024,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or specific actions.,txt,2026-03-27,direction
824,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,Small Hospital,Community — Small,4,"We are powered by our people, and commit to supporting them to be at their best",NA,NA,2024-01-01,2026-01-01,2024,2026,WRK,NA,high,name_only,"Clear workforce focus on supporting staff to be at their best. No description or actions available, but direction name unambiguously centers on people/workforce commitment.",ok,TRUE,NA,NA,Rural Roads Health Services TILLSONBURG DISTRICT MEMORIAL,2024,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or specific actions.,txt,2026-03-27,direction
826,KENORA LAKE OF THE WOODS,Small Hospital,Community — Small,1,Authentic Partnerships,NA,"We will partner purposefully to advance health system integration, innovation, research and education. | We will partner with patients and families in decision-making for care. | We will acknowledge, respect and collaborate with our Indigenous partners and communities to learn and grow together. | We will collaborate with our Foundation, advancing a culture of philanthropy.",2024-01-01,2028-01-01,2024,2028,PAR,PAT,high,full,"Primary PAR: Three of four actions focus on external partnerships (system integration, Indigenous communities, Foundation). Secondary PAT: One action addresses patient/family partnership in care decisions, which is substantial enough to warrant secondary classification.",ok,TRUE,NA,NA,Lake of the Woods District Hospital,2024,TRUE,Extraordinary care for every patient.,To support patients and families along their health care journey.,Compassion | Collaboration | Excellence | Integrity | Respect,NA,full,NA,pdf_image,2026-04-10,direction
826,KENORA LAKE OF THE WOODS,Small Hospital,Community — Small,2,Patient Safety and Clinical Excellence,NA,We will improve patient safety through quality improvement and best practice clinical service delivery. | We will accelerate the introduction and adoption of enterprise-wide data and information systems. | We will invest in continuous learning and development opportunities to support hospital and professional staff in achieving clinical excellence. | We will establish specialty centres of excellence to support health care delivery.,2024-01-01,2028-01-01,2024,2028,PAT,INN,high,full,"Primary theme PAT is clear from patient safety, quality improvement, and clinical excellence focus. Secondary theme INN assigned due to substantial emphasis on enterprise-wide data/information systems adoption. Staff learning/development mentioned but serves clinical excellence goal rather than workforce sustainability, so WRK not assigned.",ok,TRUE,NA,NA,Lake of the Woods District Hospital,2024,TRUE,Extraordinary care for every patient.,To support patients and families along their health care journey.,Compassion | Collaboration | Excellence | Integrity | Respect,NA,full,NA,pdf_image,2026-04-10,direction
826,KENORA LAKE OF THE WOODS,Small Hospital,Community — Small,3,Effective Stewardship,NA,We will contribute to a healthier planet by reducing our environmental footprint. | We will secure funding tailored to the unique health needs of our region. | We will diversify revenue streams and foster entrepreneurial thinking. | We will optimize efficiency and use of resources.,2024-01-01,2028-01-01,2024,2028,FIN,ORG,high,name_description,"Primary FIN: Three of four actions directly address financial sustainability (securing funding, diversifying revenue, optimizing resource use). Secondary ORG: Environmental footprint reduction represents organizational values/culture. Financial stewardship clearly dominates the strategic intent.",ok,TRUE,NA,NA,Lake of the Woods District Hospital,2024,TRUE,Extraordinary care for every patient.,To support patients and families along their health care journey.,Compassion | Collaboration | Excellence | Integrity | Respect,NA,full,NA,pdf_image,2026-04-10,direction
826,KENORA LAKE OF THE WOODS,Small Hospital,Community — Small,4,Engaged Workforce,NA,"We will continually enhance a responsive Human Resources strategy and action plan. | We will engage staff and seek ideas for improving work-life and hospital culture. | We will champion inclusion, diversity, equity and accessibility. | We will advance internal communications efforts to improve organizational transparency and increase employee engagement.",2024-01-01,2028-01-01,2024,2028,WRK,EDI,high,name_description,"Primary WRK: HR strategy, staff engagement, work-life, hospital culture, communications for employee engagement. Secondary EDI: explicit action on inclusion, diversity, equity and accessibility.",ok,TRUE,NA,NA,Lake of the Woods District Hospital,2024,TRUE,Extraordinary care for every patient.,To support patients and families along their health care journey.,Compassion | Collaboration | Excellence | Integrity | Respect,NA,full,NA,pdf_image,2026-04-10,direction
826,KENORA LAKE OF THE WOODS,Small Hospital,Community — Small,5,Campus of Care,NA,We will grow our services to align with current and evolving needs of our region. | We will address issues of rural health inequities through advanced advocacy and strategic efforts. | We will foster unique and innovative solutions to support an integrated health system. | We will work with our partners and key influencers to advance the All Nations Hospital Project.,2024-01-01,2028-01-01,2024,2028,ACC,PAR,high,name_description,"Primary ACC: growing services to meet regional needs, addressing access inequities, integrated system. Secondary PAR: explicit partnership focus (partners, key influencers, All Nations Hospital Project collaboration). Rural health equity here is fundamentally about access to services rather than EDI principles.",ok,TRUE,NA,NA,Lake of the Woods District Hospital,2024,TRUE,Extraordinary care for every patient.,To support patients and families along their health care journey.,Compassion | Collaboration | Excellence | Integrity | Respect,NA,full,NA,pdf_image,2026-04-10,direction
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,1,Provide Exceptional Geriatric Care & Experiences,NA,"Deliver holistic person-centred care that meets the unique needs of each resident and patient. | Ensure high-quality, safe care through our commitment to continuous improvement and innovation. | Provide equitable and inclusive programs and services that meet the diverse needs of the people and community we serve.",2024-01-01,2029-01-01,2024,2029,PAT,EDI,high,name_description,"Primary theme is clearly patient experience and quality (person-centred care, safety, quality improvement). Secondary theme EDI is substantially present through explicit commitment to equitable and inclusive programs meeting diverse needs. Innovation mentioned but as a means to quality, not a strategic focus itself.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,direction
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,2,Advance World-Class Dementia Care,NA,Develop and apply emerging evidence that optimizes care for people living with dementia. | Work with primary care to enhance access to exceptional dementia care. | Accelerate policy change that reforms and enhances dementia care by forming strategic partnerships.,2024-01-01,2029-01-01,2024,2029,PAT,PAR,high,name_description,"Primary focus is on optimizing clinical care quality and outcomes for dementia patients (evidence-based care, exceptional care). Secondary theme reflects strategic partnerships for policy change and primary care collaboration to enhance access and care delivery.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,direction
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,3,Extend Care Beyond Our Campus To Support Older Persons Locally & Provincially,NA,"Support older people to age in place by developing scalable models in collaboration with partners. | Provide equitable access to exceptional geriatric care across the province by advancing virtual care delivery. | Create and incorporate new research, education and innovation into care delivery.",2024-01-01,2029-01-01,2024,2029,ACC,PAR,high,name_description,"Primary focus is extending access to geriatric care beyond campus through virtual care and aging-in-place models (ACC). Strong secondary theme of partnerships for developing scalable collaborative models (PAR). Research/education mentioned but as means to improve care delivery, not as core strategic intent.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,direction
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,4,A Strong Culture Where Our People Thrive,NA,"Optimize each person's role, support their development and empower all people to experience fulfilment in their work. | Build a workplace culture aligned with our values to foster a sense of belonging and trust. | Grow the reputation of Baycrest as a destination employer that physicians, staff and volunteers aspire to join.",2024-01-01,2029-01-01,2024,2029,WRK,NA,high,name_description,"Clear workforce focus: role optimization, development, fulfillment, workplace culture, values alignment, belonging, trust, and employer reputation. All actions center on people/staff experience and retention.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,enabler
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,5,Digital Transformation,NA,"Integrate new and secure solutions to advance care transformation. | Digitally enable our patients, residents and their care partners to access integrated care within, across, and beyond our campus. | Empower our teams with digital tools and information resources to progress and thrive.",2024-01-01,2029-01-01,2024,2029,INN,ACC,high,name_description,"Primary INN: Core focus on digital transformation, technology adoption, and digital tools. Secondary ACC: Substantial emphasis on enabling integrated care access and care delivery transformation through digital means.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,enabler
827,TORONTO BAYCREST CTR GERIATRIC CARE,Chronic/Rehab Hospital,Specialty,6,Financial Strength and Sustainability,NA,"Maximize funding to support the needs of our residents, patients, staff, physicians and system partners. | Continue to partner with Baycrest Foundation to support generous philanthropy. | Advance fiscal stewardship through operational effectiveness, enhanced financial systems and environmentally sustainable practices.",2024-01-01,2029-01-01,2024,2029,FIN,INF,high,name_description,"Primary FIN: maximizing funding, fiscal stewardship, enhanced financial systems clearly indicate financial sustainability focus. Secondary INF: operational effectiveness and environmentally sustainable practices represent operational excellence and infrastructure concerns. Philanthropy partnership supports financial goals.",ok,TRUE,NA,NA,Baycrest Hospital and Apotex Long Term Care,2024,TRUE,"A world where every older person lives with purpose, fulfilment and dignity.","Founded and grounded in Jewish tradition and values, we are committed to providing exceptional care with kindness and compassion. Powered by our cutting-edge research, education and innovation, we serve the physical, mental and spiritual needs of older persons from all backgrounds.",Inclusive | Collaborative | Ambitious | Respectful | Excellent,NA,full,NA,pdf,2026-03-27,enabler
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,1,ELEVATE QUALITY AND THE CARE EXPERIENCE,"Care isn't just what we do—it's who we are. To achieve a next-generation experience, we will reimagine care to ensure that every child and family feels seen, heard, and supported. By championing equity and addressing the whole child and family—mind, body, spirit, and social context—we will create a seamless, safe, and inclusive SickKids. On the strength of partnership, we will connect health journeys that not only respond to diverse needs, but also enhance access, proactively eliminate harm, and improve outcomes for all.","Design inclusive services that respond to patient and family needs | Advance health equity and action on social determinants of health | Embed proactive safety and prediction to eliminate harm | Expand access and partner to create seamless health journeys | Harmonize physical, mental, and behavioural health",2025-01-01,2030-01-01,2025,2030,PAT,EDI,high,full,"Primary theme is clearly patient experience and quality (patient-centred care, safety, outcomes, care experience). Secondary theme EDI is substantially present through explicit focus on equity, social determinants of health, and inclusive services. Access elements are present but serve the broader patient experience goal rather than being primarily about access/capacity.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,direction
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,2,CREATE AN EXCEPTIONAL EMPLOYEE EXPERIENCE,"We know that patient, family, and employee experience are inextricably linked; so, when it comes to experience, we will strive to make every day exceptional. Together, we will redesign the employee experience from recruitment to retirement, prioritizing training, professional development, competitive compensation, strong benefits and pensions, and recognition in all its forms. Sustaining a focus on employee health and psychological safety, we will create a safer, future-proofed SickKids team. And we will take the pebbles from the shoes of our staff, eliminating unnecessary bureaucracy, automating redundant tasks, and leveraging AI to unleash the talent of our people.","Develop and reward diverse talent | Cultivate employee health, well-being, and psychological safety​ | Strive for balanced, streamlined, smarter work​",2025-01-01,2030-01-01,2025,2030,WRK,NA,high,full,"Clear workforce focus spanning recruitment to retirement, professional development, compensation, psychological safety, and work optimization. While patient experience is mentioned as linked, the strategic intent is entirely about employee experience and workforce sustainability.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,direction
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,3,ADVANCE THE ERA OF PRECISION CHILD HEALTH,"The Precision Child Health movement has already made significant strides; however, our journey is far from over and our determination to realize individualized care for every child remains unwavering. Unifying our people, culture, data, and processes, we will foster a learning network that encourages the free flow of ideas and expertise. Supported by deep engagement of patients and families in all that we do, representation of the diverse population we serve in our research, and revitalization of clinical research services, we will leave the one-size-fits-all era of health care in the rear-view mirror.","Unify data, culture, and ways of working to lead the shift to individualized care | Ensure patients and families can inform, participate in, and benefit from discovery research, translation, and clinical care | Strengthen clinical research to drive scientific and clinical excellence",2025-01-01,2030-01-01,2025,2030,RES,PAT,high,full,"Primary RES: Core focus on precision medicine research, clinical research services, discovery research, and translation. Secondary PAT: Substantial emphasis on patient/family engagement in research and individualized care delivery. The 'learning network' and data unification serve the research mission.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,direction
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,4,ACCELERATE FOUNDATIONS FOR INNOVATION,"Project Horizon, our ambitious redevelopment journey, will not only reimagine our campus but also fundamentally change the ways we work. Calibrating campus redevelopment to cutting-edge models of clinical care, research, and education, we will transform 100-year-old buildings into engines of innovation. Progress will be fueled by SickKids AI, a trailblazing program that will revolutionize paediatric health services through responsible AI. In the space of AI and beyond, an intensifying focus on research will accelerate discovery and translation to real-world applications, moving the needle where it matters most—at the point of impact for children, youth, and families.","Leverage campus redevelopment to evolve integrated models of clinical care, research, and education | Scale responsible AI to optimize outcomes and operations | Increase research intensity to fuel discovery and translational impact",2025-01-01,2030-01-01,2025,2030,INN,RES,high,full,"Primary INN: Core focus on innovation through AI program, digital transformation, and technology-enabled change. Secondary RES: Substantial emphasis on research intensity, discovery, and translation to real-world applications. Campus redevelopment is positioned as an enabler of innovation rather than an infrastructure goal per se.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,direction
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,5,"A strong, future-ready SickKids team","A sea of change is weighing on the health system. Through a sustained focus on recruiting and retaining top talent and training across the career lifecycle, we will prepare our most essential resource for the dynamic decade ahead.",NA,2025-01-01,2030-01-01,2025,2030,WRK,NA,high,name_description,"Clear workforce focus on recruiting, retaining, and training staff across career lifecycle. No secondary theme warranted as description is entirely workforce-centered.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,enabler
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,6,Seamless data and technology,"At the confluence of data and technology simmers the insights that can shift paradigms and change lives. Connecting our enterprise assets, we will translate information to action, unlocking the rich discovery and progress within.",NA,2025-01-01,2030-01-01,2025,2030,INN,NA,high,name_description,"Clear focus on digital transformation and data analytics ('confluence of data and technology', 'connecting enterprise assets', 'translate information to action'). No secondary theme warranted as description centers entirely on technology and data-driven insights.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,enabler
837,TORONTO HOSPITAL FOR SICK CHILDREN,Specialty Children Hospital,Specialty,7,Sustainable funding and operations​,"Safeguarding the future of children demands financial and environmental stewardship. Through efficient operations, advocacy, green-friendly ways of working, and close partnership with our Foundation, we will ensure the future of SickKids remains bright.",NA,2025-01-01,2030-01-01,2025,2030,FIN,INF,high,name_description,"Primary focus is financial sustainability (funding, financial stewardship, Foundation partnership). Secondary theme INF for operational efficiency and environmental operations. Environmental sustainability treated as operational excellence per taxonomy guidance.",ok,TRUE,NA,NA,SickKids,2025,TRUE,Healthier Children. A Better World.,"As leaders in child health, we partner locally and globally to improve the health of children through the integration of care, research, and education.",Compassion | Integrity | Collaboration | Inclusion | Innovation | Excellence,NA,full,NA,pdf,2026-03-27,enabler
850,TORONTO RUNNYMEDE HC,Chronic/Rehab Hospital,Specialty,1,Expansion & Integration,NA,"GROW FOOTPRINT & SERVICES Improve health outcomes for our diverse community through new development and responsive programs and services. | CONNECTED HEALTHCARE Enhance access, coordination and support for patients as they move through their healthcare journey. | STRATEGIC PARTNERSHIPS Expand partnerships to streamline care delivery and enhance organizational effectiveness.",2020-01-01,2024-01-01,2020,2024,ACC,PAR,high,name_description,"Primary ACC: core focus on expanding services, improving access, and care coordination. Secondary PAR: strategic partnerships explicitly mentioned as a key action for care delivery integration.",ok,TRUE,NA,NA,Runnymede Healthcare Centre,2020,TRUE,Centre of Excellence for Aging and Wellness,NA,Compassion | Accountability | Respect | Excellence | Integrity,NA,partial,Document appears to be a visual summary or overview format. Strategic directions are clearly identified but detailed descriptions and specific actions are presented as brief phrases rather than comprehensive statements.,txt,2026-03-28,direction
850,TORONTO RUNNYMEDE HC,Chronic/Rehab Hospital,Specialty,2,Centre of Excellence,NA,KNOWLEDGE EXCHANGE Create opportunities to advance care through information exchange and partnerships. | RESEARCH & INNOVATION Enable continuous improvement through vision and thought leadership. | EDUCATION Establish and promote a holistic model of care for aging and wellness.,2020-01-01,2024-01-01,2020,2024,RES,PAR,high,name_description,"Primary RES: research, innovation, thought leadership, and education (holistic care model) are core academic mission activities. Secondary PAR: knowledge exchange and partnerships are explicitly mentioned as mechanisms for advancing care. Education here refers to establishing/promoting a care model (academic dissemination), not staff training.",ok,TRUE,NA,NA,Runnymede Healthcare Centre,2020,TRUE,Centre of Excellence for Aging and Wellness,NA,Compassion | Accountability | Respect | Excellence | Integrity,NA,partial,Document appears to be a visual summary or overview format. Strategic directions are clearly identified but detailed descriptions and specific actions are presented as brief phrases rather than comprehensive statements.,txt,2026-03-28,direction
850,TORONTO RUNNYMEDE HC,Chronic/Rehab Hospital,Specialty,3,"Quality, Safety, & Accountability",NA,"CULTURE OF QUALITY Foster an organization-wide commitment to excellence. | SUSTAINABILITY Reinforce culture of environmental and financial responsibility. | TECHNOLOGY AND INFRASTRUCTURE Invest in technology to improve safety, services, and access to information.",2020-01-01,2024-01-01,2020,2024,PAT,FIN,high,name_description,"Primary theme is PAT based on direction name emphasizing quality and safety, plus 'culture of quality' and technology for safety/services. Secondary theme is FIN due to explicit mention of financial responsibility in sustainability action. Environmental sustainability noted but not dominant enough to warrant ORG classification.",ok,TRUE,NA,NA,Runnymede Healthcare Centre,2020,TRUE,Centre of Excellence for Aging and Wellness,NA,Compassion | Accountability | Respect | Excellence | Integrity,NA,partial,Document appears to be a visual summary or overview format. Strategic directions are clearly identified but detailed descriptions and specific actions are presented as brief phrases rather than comprehensive statements.,txt,2026-03-28,direction
